oil_level_pct,temp_oil_C,temp_winding_C,voltage_A_V,voltage_B_V,voltage_C_V,current_A_A,current_B_A,current_C_A,voltage_avg_V,current_avg_A,voltage_unbal_pct,current_unbal_pct,load_pct,delta_temp_C,power_factor,resistance_pu,fault_label,fault_name
35.81,67.67,78.24,239.09,239.23,237.87,204.98,196.02,190.48,238.73,197.16,0.36,3.967,70.61,10.56,0.8155,1.0545,2,Low_Oil_Level
35.95,64.79,94.16,243.34,243.19,242.16,200.64,185.03,188.54,242.9,191.41,0.303,4.823,69.74,29.37,0.8455,1.0253,2,Low_Oil_Level
84.57,61.63,68.84,309.63,316.0,324.11,206.76,224.81,219.37,316.58,216.98,2.379,4.708,103.08,7.21,0.8295,0.9631,5,Over_Voltage
88.51,64.81,114.29,219.63,232.44,226.89,400.23,402.55,397.41,226.32,400.06,2.958,0.663,135.82,49.48,0.8016,0.8982,6,Over_Current
45.7,65.52,97.9,236.5,236.94,239.45,195.53,194.5,202.28,237.63,197.44,0.765,2.455,70.38,32.38,0.8434,1.018,2,Low_Oil_Level
84.86,56.87,61.23,240.7,239.32,238.32,195.41,211.46,190.09,239.44,198.99,0.523,6.269,71.47,4.37,0.858,1.0043,0,Normal
83.23,93.75,126.22,240.56,241.98,244.34,254.97,245.24,257.51,242.3,252.57,0.845,2.904,91.8,32.47,0.9243,0.9639,1,Overheating
86.83,84.32,135.34,141.1,133.81,151.79,2473.25,2517.4,2415.27,142.23,2468.64,6.719,2.162,526.22,51.02,0.6839,0.2103,3,Short_Circuit
80.5,97.67,110.26,198.99,206.51,149.75,962.55,987.43,942.91,185.08,964.3,19.092,2.399,268.32,12.6,0.7231,0.3939,3,Short_Circuit
84.49,88.72,118.1,228.81,227.91,229.27,429.19,457.59,441.01,228.66,442.6,0.33,3.387,151.8,29.38,0.8315,1.0292,6,Over_Current
42.38,70.65,89.0,238.96,242.27,238.46,200.29,182.14,202.7,239.89,195.04,0.989,6.614,70.16,18.35,0.869,1.0272,2,Low_Oil_Level
54.81,73.16,84.49,236.56,240.51,237.35,204.11,198.94,195.61,238.14,199.55,0.995,2.284,71.28,11.33,0.8535,0.9076,2,Low_Oil_Level
83.71,60.8,58.14,238.62,238.13,240.2,196.51,196.14,196.81,238.98,196.49,0.509,0.178,70.43,-2.66,0.8924,1.0168,0,Normal
84.47,75.1,111.17,157.68,180.16,168.58,2653.82,2826.22,2767.3,168.81,2749.11,6.724,3.466,697.07,36.07,0.7504,0.4719,3,Short_Circuit
81.41,80.64,101.67,243.05,236.63,235.71,270.16,253.32,296.05,238.47,273.17,1.924,8.373,97.69,21.03,0.8377,0.9426,1,Overheating
91.2,61.47,72.83,312.72,301.84,304.47,193.84,203.43,209.4,306.34,202.22,2.081,4.147,92.89,11.37,0.8065,0.8899,5,Over_Voltage
83.92,52.72,65.14,240.66,237.16,235.81,206.61,190.76,194.72,237.88,197.36,1.169,4.687,70.44,12.42,0.8911,1.0477,0,Normal
40.37,64.95,75.57,236.23,236.23,238.28,202.22,190.16,199.21,236.91,197.2,0.578,3.566,70.08,10.61,0.8635,1.0008,2,Low_Oil_Level
84.81,97.12,120.26,203.18,124.23,196.76,1580.0,1533.39,1582.83,174.72,1565.41,28.901,2.045,411.48,23.14,0.6942,0.1843,3,Short_Circuit
91.62,60.42,76.78,297.98,309.01,303.64,206.9,203.17,217.31,303.54,209.12,1.832,3.913,95.21,16.36,0.8057,1.0233,5,Over_Voltage
87.87,79.72,113.5,222.95,218.34,231.07,261.35,275.66,274.0,224.12,270.33,3.101,3.324,90.88,33.78,0.8335,1.0079,6,Over_Current
84.27,96.5,112.11,131.37,149.03,119.67,1851.64,1641.87,1765.78,133.36,1753.1,11.751,6.345,349.62,15.61,0.7084,0.1966,3,Short_Circuit
86.95,60.72,65.95,241.42,237.9,240.35,212.53,202.69,206.15,239.89,207.12,0.832,2.612,74.54,5.23,0.8461,1.0645,0,Normal
88.93,76.64,128.12,239.4,239.84,239.06,280.89,270.07,246.2,239.43,265.72,0.169,7.347,95.44,51.48,0.8419,1.0502,1,Overheating
82.0,58.14,68.9,263.76,266.26,268.35,204.35,196.84,210.54,266.12,203.91,0.887,3.467,81.4,10.76,0.821,1.0381,5,Over_Voltage
85.11,50.8,64.46,292.01,240.77,240.79,2.46,193.03,195.56,257.86,130.35,13.245,98.11,47.14,13.65,0.8825,15.0645,4,Open_Circuit
43.8,70.19,92.22,238.92,244.46,236.24,203.71,190.25,190.45,239.87,194.8,1.913,4.574,70.08,22.03,0.8104,0.9287,2,Low_Oil_Level
88.78,65.96,72.55,290.53,289.66,285.02,211.38,214.57,206.03,288.4,210.66,1.173,2.198,91.14,6.59,0.7961,1.0164,5,Over_Voltage
90.17,79.51,81.17,231.91,232.37,231.21,329.85,327.17,357.69,231.83,338.24,0.266,5.751,117.61,1.67,0.8437,1.025,6,Over_Current
52.63,69.12,76.72,236.55,235.87,244.47,199.66,204.22,194.14,238.96,199.34,2.305,2.607,71.43,7.6,0.8775,0.988,2,Low_Oil_Level
86.95,80.93,115.07,241.46,237.11,240.18,224.68,240.41,241.07,239.58,235.39,1.031,4.548,84.58,34.14,0.855,0.9914,1,Overheating
81.51,85.86,117.51,243.8,243.59,240.35,271.95,269.58,274.78,242.58,272.1,0.918,0.983,99.01,31.64,0.8735,0.9459,1,Overheating
91.36,87.65,121.69,147.39,142.21,205.19,2788.9,2951.85,2774.0,164.93,2838.25,24.409,4.003,700.03,34.05,0.7117,0.2878,3,Short_Circuit
92.55,83.28,87.89,227.37,231.3,230.39,488.02,467.7,439.26,229.69,464.99,1.01,5.533,160.17,4.61,0.7858,1.0397,6,Over_Current
88.91,61.85,61.42,240.14,242.05,237.93,180.87,192.13,203.46,240.04,192.16,0.879,5.883,69.18,-0.43,0.8673,0.9835,0,Normal
86.52,63.38,62.67,238.28,241.65,242.03,198.29,191.96,186.09,240.65,192.11,0.987,3.214,69.34,-0.71,0.8589,1.0168,0,Normal
86.47,56.63,67.9,242.36,242.41,243.33,197.79,194.98,190.41,242.7,194.39,0.259,2.048,70.77,11.27,0.8929,0.961,0,Normal
57.28,77.9,85.07,238.45,240.75,236.95,191.8,191.24,178.44,238.72,187.16,0.853,4.657,67.03,7.17,0.8801,1.0408,2,Low_Oil_Level
86.37,63.99,83.06,312.5,304.58,308.96,209.61,209.01,216.08,308.68,211.57,1.329,2.135,97.96,19.07,0.8498,0.9156,5,Over_Voltage
55.43,66.67,85.33,242.02,241.06,239.54,194.09,189.5,186.44,240.87,190.01,0.554,2.149,68.66,18.66,0.831,1.0907,2,Low_Oil_Level
89.82,46.69,71.66,297.68,242.21,238.16,1.56,208.26,208.25,259.35,139.36,14.779,98.884,50.25,24.97,0.8682,18.8764,4,Open_Circuit
89.41,60.33,83.79,302.11,300.63,306.19,212.5,214.76,203.19,302.98,210.15,1.061,3.312,95.49,23.46,0.8569,1.032,5,Over_Voltage
86.33,75.79,94.06,228.31,227.7,234.78,441.05,410.8,425.69,230.26,425.85,1.961,3.571,147.09,18.27,0.8226,1.0316,6,Over_Current
86.5,65.65,71.11,306.48,302.39,295.53,209.16,218.76,208.01,301.47,211.98,1.968,3.199,95.86,5.46,0.8669,1.0566,5,Over_Voltage
85.14,63.23,72.6,302.43,301.98,303.75,210.19,201.61,216.94,302.72,209.58,0.34,3.802,95.17,9.37,0.785,0.9787,5,Over_Voltage
85.32,63.77,71.82,264.62,263.3,265.65,214.58,203.56,204.97,264.52,207.7,0.462,3.311,82.41,8.05,0.8142,1.0482,5,Over_Voltage
87.86,59.62,73.26,264.54,272.18,267.45,204.9,203.3,215.94,268.06,208.05,1.54,3.796,83.65,13.64,0.8126,0.9947,5,Over_Voltage
85.36,59.86,85.1,273.23,236.16,239.06,1.8,190.47,204.6,249.48,132.29,9.52,98.642,47.19,25.24,0.8901,18.9781,4,Open_Circuit
89.7,43.03,74.98,242.2,294.13,238.89,204.58,2.23,187.47,258.41,131.43,13.823,98.303,47.5,31.95,0.867,17.4427,4,Open_Circuit
90.99,56.13,80.68,241.58,236.67,260.76,185.1,188.42,2.6,246.34,125.38,5.857,97.926,44.99,24.55,0.8797,6.1746,4,Open_Circuit
87.43,68.19,111.01,230.2,224.06,227.29,389.84,390.75,385.75,227.18,388.78,1.374,0.779,132.49,42.82,0.8371,0.9704,6,Over_Current
89.16,61.44,65.8,243.58,238.52,239.78,209.02,202.92,178.42,240.63,196.79,1.228,9.334,71.05,4.36,0.8667,1.0074,0,Normal
81.32,64.09,71.0,240.55,238.27,239.51,190.09,187.39,186.54,239.44,188.01,0.49,1.106,67.53,6.92,0.8525,1.1085,0,Normal
87.04,93.89,140.61,144.87,187.95,130.83,1430.02,1453.73,1370.62,154.55,1418.12,21.612,3.35,329.85,46.71,0.5708,0.2522,3,Short_Circuit
86.41,93.84,133.98,201.71,138.45,154.65,1216.12,1373.3,1277.52,164.94,1288.98,22.295,6.541,316.5,40.14,0.6531,0.2184,3,Short_Circuit
83.78,51.05,64.35,236.8,240.05,232.68,222.2,194.15,201.54,236.51,205.96,1.619,7.883,73.06,13.3,0.886,0.9478,0,Normal
81.98,49.54,64.2,241.44,241.53,237.45,193.19,199.67,178.42,240.14,190.43,1.119,6.305,68.62,14.66,0.9008,1.0793,0,Normal
89.7,53.45,68.96,241.15,238.99,240.85,175.33,173.83,193.24,240.33,180.8,0.556,6.882,65.18,15.51,0.8921,1.0559,0,Normal
89.01,59.46,112.67,229.09,238.57,227.35,338.22,371.41,361.9,231.67,357.18,2.979,5.307,124.18,53.21,0.8469,1.0416,6,Over_Current
91.52,74.2,88.57,223.56,218.41,217.59,286.13,281.5,286.95,219.85,284.86,1.685,1.179,93.94,14.37,0.8457,0.9885,6,Over_Current
88.28,61.66,75.73,268.07,269.93,267.98,221.54,197.34,220.12,268.66,213.0,0.473,7.353,85.82,14.07,0.8441,1.0239,5,Over_Voltage
76.93,74.18,132.1,243.64,241.33,236.93,258.44,278.25,282.09,240.63,272.93,1.54,5.309,98.48,57.92,0.8493,1.0264,1,Overheating
81.61,85.11,101.32,236.25,242.13,237.45,244.86,241.23,226.33,238.61,237.47,1.475,4.692,85.0,16.22,0.8651,0.9916,1,Overheating
84.3,83.68,138.97,128.93,136.65,132.3,2156.01,1919.37,1893.05,132.63,1989.48,3.032,8.371,395.35,55.29,0.6251,0.4934,3,Short_Circuit
32.37,62.49,86.92,236.96,244.1,243.79,194.31,190.29,204.03,241.62,196.21,1.928,3.987,71.12,24.43,0.8537,1.1143,2,Low_Oil_Level
51.08,65.03,94.98,246.01,240.36,240.35,187.67,194.11,190.04,242.24,190.61,1.556,1.837,69.25,29.95,0.849,1.0727,2,Low_Oil_Level
85.07,52.22,65.88,237.0,240.62,238.09,189.91,192.31,188.27,238.57,190.16,0.859,1.13,68.05,13.66,0.8566,1.0179,0,Normal
92.57,77.1,94.72,231.83,221.1,225.16,453.69,438.76,459.54,226.03,450.66,2.567,2.641,152.83,17.62,0.8255,0.9865,6,Over_Current
86.96,69.32,107.57,229.84,228.67,227.95,412.44,440.43,444.72,228.82,432.53,0.448,4.645,148.44,38.25,0.8364,0.8871,6,Over_Current
86.44,83.17,107.93,227.51,222.99,222.99,420.88,422.12,392.67,224.5,411.89,1.341,4.666,138.72,24.76,0.783,1.1129,6,Over_Current
51.56,70.49,96.54,238.41,239.81,243.55,189.96,205.16,196.34,240.59,197.15,1.231,4.062,71.15,26.05,0.8492,0.9119,2,Low_Oil_Level
84.5,60.5,77.5,322.19,327.58,325.37,213.96,195.6,201.19,325.05,203.59,0.88,5.096,99.24,16.99,0.8507,1.0095,5,Over_Voltage
77.97,87.44,131.84,239.85,238.96,240.27,240.57,245.27,267.08,239.69,250.97,0.307,6.417,90.24,44.4,0.8453,0.9971,1,Overheating
30.99,70.78,80.6,241.4,240.56,238.76,198.88,197.38,191.2,240.24,195.82,0.615,2.358,70.57,9.82,0.8279,0.9974,2,Low_Oil_Level
81.44,78.26,101.0,237.7,238.36,240.65,252.3,278.73,263.17,238.9,264.73,0.733,5.286,94.87,22.74,0.871,0.9833,1,Overheating
85.8,73.47,103.21,219.45,226.7,231.21,374.78,391.05,401.75,225.78,389.19,2.807,3.703,131.89,29.74,0.8543,0.9773,6,Over_Current
90.3,74.31,109.91,225.42,222.66,225.04,335.1,337.87,340.68,224.37,337.88,0.765,0.827,113.72,35.6,0.8194,1.0103,6,Over_Current
83.65,54.06,71.98,289.89,235.85,236.52,3.07,182.33,197.52,254.09,127.64,14.091,97.591,45.31,17.92,0.8825,20.1851,4,Open_Circuit
80.07,94.36,120.36,237.28,236.96,239.47,265.26,287.5,276.35,237.9,276.37,0.657,4.026,98.62,25.99,0.843,0.9303,1,Overheating
87.53,77.31,106.13,220.44,229.57,225.02,492.96,490.92,460.52,225.01,481.47,2.031,4.351,162.5,28.81,0.8347,0.9706,6,Over_Current
72.93,97.5,113.83,233.98,234.95,240.36,250.02,234.1,278.67,236.43,254.26,1.66,9.599,90.24,16.34,0.8124,0.9809,1,Overheating
89.96,54.06,63.77,239.2,237.72,237.02,194.16,191.16,208.28,237.98,197.87,0.511,5.262,70.63,9.71,0.9129,1.0029,0,Normal
78.96,74.74,130.13,235.4,236.9,240.42,261.39,244.81,269.39,237.57,258.53,1.2,5.307,92.15,55.39,0.8676,1.0383,1,Overheating
80.25,82.54,113.73,239.99,241.83,241.41,259.27,256.07,252.76,241.08,256.03,0.452,1.28,92.58,31.19,0.843,0.9478,1,Overheating
42.81,61.53,90.07,243.54,240.91,240.23,200.15,205.15,205.48,241.56,203.59,0.82,1.691,73.76,28.54,0.8437,1.0105,2,Low_Oil_Level
31.11,79.97,87.95,232.91,239.81,240.57,189.03,195.95,201.34,237.76,195.44,2.041,3.28,69.73,7.98,0.8245,0.9135,2,Low_Oil_Level
86.48,54.58,73.37,238.83,281.69,235.11,186.0,2.23,188.05,251.87,125.43,11.837,98.22,44.63,18.79,0.8616,15.307,4,Open_Circuit
79.86,70.14,69.56,301.28,296.02,299.3,216.38,207.73,208.94,298.87,211.02,0.952,2.542,94.61,-0.58,0.8524,0.9225,5,Over_Voltage
84.27,56.81,77.81,241.18,277.12,239.6,185.91,1.85,185.67,252.63,124.47,9.694,98.517,44.92,21.0,0.8885,10.4455,4,Open_Circuit
92.7,63.5,66.0,242.57,243.27,239.27,195.21,194.4,205.99,241.7,198.53,1.006,3.755,71.97,2.5,0.8613,0.9727,0,Normal
93.81,61.58,77.98,272.16,274.89,277.89,215.41,215.55,225.23,274.98,218.73,1.058,2.973,90.23,16.41,0.8788,0.9412,5,Over_Voltage
88.35,60.04,90.87,293.94,235.26,240.09,2.55,195.22,198.77,256.43,132.18,14.627,98.071,47.2,30.82,0.9146,15.8937,4,Open_Circuit
46.71,67.84,92.0,242.55,242.97,241.21,182.23,200.25,200.72,242.24,194.4,0.429,6.262,70.64,24.17,0.8739,1.0969,2,Low_Oil_Level
83.74,50.4,61.22,240.9,238.92,237.25,188.4,175.42,208.86,239.02,190.89,0.785,9.413,68.42,10.83,0.8885,0.9515,0,Normal
41.87,73.73,80.56,239.22,246.42,235.9,195.16,183.62,199.45,240.51,192.74,2.456,4.733,69.49,6.84,0.8026,0.9156,2,Low_Oil_Level
86.26,87.25,122.58,239.14,238.29,238.95,285.45,257.95,267.74,238.79,270.38,0.211,5.572,96.85,35.33,0.8417,1.0356,1,Overheating
88.01,66.63,70.75,318.76,311.5,310.78,210.27,211.91,209.47,313.68,210.55,1.618,0.647,99.07,4.11,0.7743,1.0623,5,Over_Voltage
85.55,61.98,77.7,318.22,324.52,318.06,204.68,201.01,201.95,320.27,202.55,1.329,1.055,97.3,15.72,0.8331,1.066,5,Over_Voltage
89.14,56.23,73.54,239.01,235.32,302.71,195.98,190.19,2.15,259.01,129.44,16.872,98.34,46.12,17.31,0.8466,17.034,4,Open_Circuit
91.52,83.86,108.69,215.99,228.71,231.81,334.55,340.42,327.33,225.5,334.1,4.217,2.025,113.0,24.83,0.8447,1.0018,6,Over_Current
86.76,58.32,56.38,240.8,238.66,241.66,194.92,192.04,204.82,240.37,197.26,0.713,3.832,71.13,-1.94,0.8762,1.0261,0,Normal
83.18,56.33,75.34,242.14,269.87,235.73,208.74,3.08,206.48,249.25,139.43,8.274,97.794,50.02,19.02,0.8784,14.6879,4,Open_Circuit
82.92,93.86,120.54,130.88,164.84,200.25,1616.06,1516.57,1538.16,165.32,1556.93,21.124,3.798,384.76,26.67,0.555,0.1764,3,Short_Circuit
90.28,104.92,109.18,176.62,154.23,180.09,2275.27,2236.41,2039.45,170.31,2183.71,9.443,6.606,557.03,4.26,0.7236,0.13,3,Short_Circuit
89.11,53.18,66.04,273.61,276.11,273.69,211.19,194.5,219.61,274.47,208.43,0.597,6.682,85.8,12.86,0.8243,1.0373,5,Over_Voltage
83.29,66.5,73.88,311.19,311.93,312.48,202.8,197.83,213.88,311.87,204.84,0.218,4.414,95.83,7.37,0.8793,1.0268,5,Over_Voltage
84.47,90.95,146.22,160.42,144.4,198.01,2334.2,2432.15,2329.67,167.61,2365.34,18.137,2.825,593.48,55.27,0.6732,0.4635,3,Short_Circuit
91.17,73.92,130.81,154.78,200.65,195.89,2333.58,2084.48,2311.25,183.77,2243.1,15.778,7.072,616.09,56.89,0.7022,0.4355,3,Short_Circuit
88.48,79.79,109.77,233.68,221.65,227.15,263.9,246.04,248.89,227.49,252.94,2.718,4.333,86.37,29.98,0.8283,1.0565,6,Over_Current
85.28,57.05,65.06,267.28,266.33,267.34,198.82,198.6,200.05,266.98,199.16,0.245,0.448,79.76,8.01,0.78,1.0368,5,Over_Voltage
83.46,80.34,103.05,221.29,222.62,226.68,419.33,460.08,429.76,223.53,436.39,1.409,5.429,146.32,22.71,0.7972,1.0043,6,Over_Current
84.04,80.34,116.34,238.95,239.36,243.2,265.66,244.55,231.01,240.5,247.07,1.122,7.522,89.1,36.0,0.8474,1.0478,1,Overheating
85.55,83.02,106.23,148.69,141.7,191.76,3159.28,3125.81,3113.25,160.72,3132.78,19.314,0.846,754.84,23.21,0.6006,0.4263,3,Short_Circuit
84.81,80.69,129.47,146.33,187.65,179.42,1280.43,1356.26,1337.04,171.13,1324.58,14.492,3.333,340.88,48.78,0.5735,0.2549,3,Short_Circuit
80.34,94.71,132.22,238.66,241.54,240.82,266.14,278.61,272.57,240.34,272.44,0.699,2.314,98.23,37.51,0.8376,0.9745,1,Overheating
84.47,82.06,120.66,241.43,239.86,237.36,276.26,257.88,260.48,239.55,264.87,0.913,4.299,95.19,38.6,0.8192,1.0147,1,Overheating
83.38,78.7,112.56,239.59,239.12,241.53,239.0,268.9,284.8,240.08,264.23,0.603,9.55,95.17,33.86,0.8412,0.9976,1,Overheating
89.78,56.75,71.82,235.9,238.45,239.49,199.48,204.63,195.0,237.95,199.7,0.861,2.467,71.28,15.07,0.8945,0.996,0,Normal
83.55,52.16,83.33,237.5,281.66,236.89,184.92,2.18,191.91,252.02,126.34,11.762,98.272,45.0,31.18,0.8954,6.9049,4,Open_Circuit
85.64,53.36,73.34,273.9,236.27,237.85,2.29,205.73,188.76,249.34,132.26,9.85,98.271,47.06,19.98,0.8871,17.7028,4,Open_Circuit
86.63,56.66,84.86,269.54,241.36,238.74,1.85,196.99,188.08,249.88,128.97,7.868,98.567,46.47,28.2,0.9006,7.0326,4,Open_Circuit
87.99,60.81,68.66,278.94,281.68,276.19,191.72,211.9,197.54,278.94,200.39,0.984,5.745,83.86,7.85,0.8231,0.9377,5,Over_Voltage
85.99,57.74,72.99,307.06,314.17,311.77,205.83,211.6,196.25,311.0,204.56,1.268,4.064,95.43,15.25,0.8754,0.939,5,Over_Voltage
81.33,76.43,129.88,194.15,186.38,156.22,1268.52,1212.58,1258.23,178.91,1246.44,12.687,2.717,334.42,53.46,0.6715,0.4959,3,Short_Circuit
90.86,53.0,81.02,239.46,292.28,234.63,190.98,2.67,185.42,255.45,126.36,14.415,97.89,45.01,28.02,0.8959,8.4264,4,Open_Circuit
81.86,85.86,126.11,243.17,242.89,239.88,269.22,274.99,286.25,241.98,276.82,0.867,3.407,100.46,40.25,0.8644,1.012,1,Overheating
82.23,71.12,106.93,242.58,235.21,239.83,273.42,245.84,267.51,239.21,262.26,1.67,6.261,94.15,35.8,0.8156,0.9914,1,Overheating
89.94,59.5,81.37,270.17,268.85,272.48,205.52,221.63,206.95,270.5,211.37,0.731,4.857,85.75,21.86,0.8184,0.9952,5,Over_Voltage
87.14,55.89,73.54,277.85,276.9,289.01,212.46,196.49,223.38,281.26,210.78,2.759,6.779,89.0,17.64,0.7992,1.0342,5,Over_Voltage
93.13,82.51,125.53,130.6,121.87,156.27,1226.12,1171.39,1192.47,136.25,1196.66,14.695,2.462,244.62,43.02,0.661,0.4663,3,Short_Circuit
80.62,87.7,106.71,239.42,241.47,237.5,268.55,241.39,283.4,239.46,264.45,0.84,8.72,94.95,19.02,0.8478,1.0068,1,Overheating
91.6,74.32,115.18,228.81,218.73,221.27,463.9,447.25,441.28,222.94,450.81,2.636,2.903,150.81,40.87,0.7762,1.0118,6,Over_Current
78.9,97.37,122.21,239.54,242.81,240.71,289.81,252.7,272.33,241.02,271.61,0.744,6.964,98.16,24.85,0.8815,0.9416,1,Overheating
91.87,62.28,79.33,284.62,237.11,239.59,2.21,197.84,209.85,253.78,136.63,12.155,98.383,48.91,17.06,0.8701,18.7547,4,Open_Circuit
91.71,60.73,86.08,243.56,267.95,234.99,196.75,2.03,190.05,248.83,129.61,7.682,98.433,46.56,25.35,0.874,14.6774,4,Open_Circuit
87.87,60.95,61.04,237.09,241.43,238.37,190.75,177.2,198.09,238.96,188.68,1.032,6.086,67.61,0.09,0.89,1.0765,0,Normal
89.0,53.01,75.47,241.08,236.87,290.21,189.3,210.82,2.3,256.05,134.14,13.339,98.286,48.12,22.47,0.9008,6.4235,4,Open_Circuit
85.45,54.99,60.3,242.55,237.61,239.93,175.9,191.63,190.22,240.03,185.92,1.049,5.387,66.92,5.31,0.8903,0.9832,0,Normal
90.55,51.94,82.56,242.94,240.49,278.3,197.35,200.88,2.85,253.91,133.69,9.606,97.871,48.52,30.62,0.8627,9.7081,4,Open_Circuit
86.95,54.77,70.15,239.95,244.69,240.15,204.43,176.93,194.3,241.6,191.89,1.28,7.795,69.5,15.38,0.8828,0.9734,0,Normal
90.55,93.08,137.38,171.03,132.07,140.88,1804.54,1763.96,1808.12,147.99,1792.21,15.568,1.576,398.16,44.3,0.6861,0.1745,3,Short_Circuit
80.58,81.79,98.0,240.24,239.58,239.02,236.06,283.06,279.47,239.61,266.2,0.262,11.323,95.66,16.22,0.86,1.0126,1,Overheating
85.83,78.41,86.72,224.04,228.32,227.82,390.29,414.16,418.4,226.73,407.62,1.185,4.25,138.66,8.31,0.8374,1.0749,6,Over_Current
82.55,59.23,66.87,242.02,236.31,241.3,191.39,197.07,197.51,239.88,195.32,1.485,2.012,70.27,7.64,0.8744,1.0009,0,Normal
81.5,96.71,119.0,169.44,157.68,159.95,2575.36,2768.9,2566.22,162.36,2636.83,4.364,5.009,641.71,22.29,0.7845,0.319,3,Short_Circuit
34.12,69.16,96.33,238.51,240.3,240.45,197.6,197.52,177.73,239.75,190.95,0.517,6.924,68.66,27.18,0.8256,1.0223,2,Low_Oil_Level
82.65,83.37,114.88,221.52,223.32,228.6,420.79,399.76,413.01,224.48,411.19,1.836,2.778,138.45,31.5,0.8269,1.0383,6,Over_Current
89.12,61.96,94.94,301.93,307.86,308.42,219.93,194.22,211.35,306.07,208.5,1.353,6.849,95.69,32.99,0.8687,0.9158,5,Over_Voltage
89.87,93.84,135.1,131.99,193.79,178.29,3057.45,3091.2,3062.16,168.03,3070.27,21.444,0.682,774.28,41.26,0.646,0.2531,3,Short_Circuit
92.73,59.74,78.9,240.12,261.83,240.62,189.91,1.89,192.17,247.52,127.99,5.78,98.52,46.17,19.16,0.8587,14.9917,4,Open_Circuit
28.94,64.45,97.35,239.64,235.17,234.94,185.64,192.44,198.75,236.58,192.28,1.29,3.453,68.22,32.9,0.8315,0.9667,2,Low_Oil_Level
82.14,79.42,117.97,237.09,241.35,244.64,241.31,282.58,289.41,241.03,271.1,1.633,10.989,98.11,38.56,0.8637,1.0212,1,Overheating
87.13,51.94,82.29,241.89,292.13,239.77,214.15,2.42,194.74,257.93,137.11,13.26,98.233,49.6,30.35,0.8837,15.7064,4,Open_Circuit
83.61,68.4,106.73,220.49,226.13,219.05,482.76,475.47,457.23,221.89,471.82,1.91,3.093,157.06,38.33,0.8599,0.9591,6,Over_Current
85.42,62.53,78.04,290.7,290.87,292.87,194.12,201.94,219.33,291.48,205.13,0.477,6.923,89.7,15.51,0.8173,0.9758,5,Over_Voltage
50.83,76.44,80.14,239.64,241.86,237.01,202.77,187.83,202.5,239.5,197.7,1.041,4.993,71.01,3.7,0.8354,1.0099,2,Low_Oil_Level
85.78,88.03,110.04,168.02,159.05,143.01,1116.33,1195.22,1109.52,156.69,1140.36,8.733,4.811,268.17,22.0,0.6143,0.2855,3,Short_Circuit
42.96,71.51,84.91,239.09,237.45,243.32,192.28,188.57,206.58,239.95,195.81,1.404,5.5,70.51,13.4,0.8708,1.1256,2,Low_Oil_Level
79.65,90.14,119.12,240.28,243.1,239.23,275.46,227.34,263.51,240.87,255.44,0.927,10.999,92.25,28.97,0.8951,1.0541,1,Overheating
